collection;xcoord;ycoord
8347;937417.531935378;6576415.89427575
23031;654795.376071487;6847780.34881426
8347;937417.531935378;6576415.89427575
18818;823914.128770597;6402424.94574343
21713;937159.644296094;6879299.6712437
21951;826000.757376376;6404599.09643
529;351559.22228789;6800714.02059964
607;646936.493618914;6863734.17204916
944;818861.739806049;6440684.08446358
17391;523070.324367317;6903749.98824309
2375;335825.753409049;6776307.89085657
7508;825441.799936448;6406164.50018718
7790;606221.72340073;6641671.1709671
7899;980796.618114159;6757295.45645258
9846;350801.881565983;6800949.64850289
10671;640543.504863142;6857518.17981936
10683;335803.694982476;6776367.39840438
10698;335823.580913887;6776400.18535418
10747;487791.597667607;6188685.84257073
11252;937756.799142539;6565206.86941732
11252;937756.799142539;6565206.86941732
11371;652780.54046362;6876313.93657625
11445;824143.77050559;6402618.67427758
11762;624610.375591517;6361748.64312179
12029;351557.344508838;6800658.15582977
12143;867507.664890282;6634625.53822569
13170;818824.801573196;6440648.5102383
13251;681670.763059935;6825859.634819
13336;1001033.54631077;6775566.88376162
14552;240966.608322241;6739513.9021137
22385;544375.220996083;6435567.30538244
5809;824154.128790936;6402598.4028472
5809;824154.128790936;6402598.4028472
5809;824154.128790936;6402598.4028472
5809;824154.128790936;6402598.4028472
5809;824154.128790936;6402598.4028472
15848;413587.403457708;6783009.05298471
5811;824115.558650424;6402626.01376402
5811;824115.558650424;6402626.01376402
15929;824165.85551347;6402570.35349919
16208;942780.284724332;6564677.70654731
16239;784041.778682697;6413582.78066752
16239;784041.778682697;6413582.78066752
16336;672241.06371653;6877916.40304856
5843;816615.035752101;6326886.35250711
5843;816615.035752101;6326886.35250711
16518;931615.098373773;6574931.63221368
16518;931615.098373773;6574931.63221368
16617;949633.197616294;6569463.1705941
16632;830912.013565575;6394608.68697344
16721;899110.438891721;6676070.43332537
16748;830966.130666336;6394686.66466657
16797;833872.773081898;6395231.44116839
16810;490243.962676087;6511403.12210694
16883;336165.015826025;6255337.72648168
16969;824134.743865798;6402519.12489327
17026;914490.538075433;6483859.65789032
17056;603167.31382946;6837605.86700183
17134;351543.647909364;6800726.69947512
17141;646268.454428425;6427331.4182719
17393;822056.64800375;6402906.24592336
17390;600202.202339288;6673163.47394298
17475;352132.813009542;6786458.30933343
5820;771914.482292865;6434184.51484712
5820;771914.482292865;6434184.51484712
5820;771914.482292865;6434184.51484712
5820;771914.482292865;6434184.51484712
19061;632574.240230533;6899499.0751589
19165;348186.01221083;6782715.19954824
19294;418073.11825523;6423238.05599567
44074;624575.643932467;6361772.5402042
44832;646318.540944129;6427451.12440872
45259;758479.100778452;6298888.7158018
10835;824173.803467695;6402602.29744162
19775;824177.866525142;6402608.24158615
54674;940713.336773554;6564547.46264911
20209;615466.609851;6841423.37528799
11404;1181062.36763646;6109315.25183666
58726;342636.845252418;6723606.52879073
58925;729265.495994845;6382166.46722367
58925;729265.495994845;6382166.46722367
58925;729265.495994845;6382166.46722367
